,city,year,month,ridership,Mode
0,Philadelphia,2019,1,459160.0,bus
1,Philadelphia,2019,1,419565.0,rail_boardings
2,Philadelphia,2019,2,464674.0,bus
3,Philadelphia,2019,2,437019.0,rail_boardings
4,Philadelphia,2019,3,478487.0,bus
5,Philadelphia,2019,3,427005.0,rail_boardings
6,Philadelphia,2019,4,473732.0,bus
7,Philadelphia,2019,4,429536.0,rail_boardings
8,Philadelphia,2019,5,480074.0,bus
9,Philadelphia,2019,5,422963.0,rail_boardings
10,Philadelphia,2019,6,396720.0,bus
11,Philadelphia,2019,6,387558.0,rail_boardings
12,Philadelphia,2019,7,401911.0,bus
13,Philadelphia,2019,7,378636.0,rail_boardings
14,Philadelphia,2019,8,406865.0,bus
15,Philadelphia,2019,8,382586.0,rail_boardings
16,Philadelphia,2019,9,501557.0,bus
17,Philadelphia,2019,9,460388.0,rail_boardings
18,Philadelphia,2019,10,502857.0,bus
19,Philadelphia,2019,10,460176.0,rail_boardings
20,Philadelphia,2019,11,490316.0,bus
21,Philadelphia,2019,11,453223.0,rail_boardings
22,Philadelphia,2019,12,437027.0,bus
23,Philadelphia,2019,12,441040.0,rail_boardings
24,Philadelphia,2020,1,493261.0,bus
25,Philadelphia,2020,1,441395.0,rail_boardings
26,Philadelphia,2020,2,503967.0,bus
27,Philadelphia,2020,2,434811.0,rail_boardings
28,Philadelphia,2020,3,414021.0,bus
29,Philadelphia,2020,3,252731.0,rail_boardings
30,Philadelphia,2020,4,141411.0,bus
31,Philadelphia,2020,4,49521.0,rail_boardings
32,Philadelphia,2020,5,165838.0,bus
33,Philadelphia,2020,5,54929.0,rail_boardings
34,Philadelphia,2020,6,192334.0,bus
35,Philadelphia,2020,6,74732.0,rail_boardings
36,Philadelphia,2020,7,203766.0,bus
37,Philadelphia,2020,7,103651.0,rail_boardings
38,Philadelphia,2020,8,189252.0,bus
39,Philadelphia,2020,8,106076.0,rail_boardings
40,Philadelphia,2020,9,205693.0,bus
41,Philadelphia,2020,9,119667.0,rail_boardings
42,Philadelphia,2020,10,207445.0,bus
43,Philadelphia,2020,10,120177.0,rail_boardings
44,Philadelphia,2020,11,193063.0,bus
45,Philadelphia,2020,11,112526.0,rail_boardings
46,Philadelphia,2020,12,200729.0,bus
47,Philadelphia,2020,12,115571.0,rail_boardings
48,Philadelphia,2021,1,184766.0,bus
49,Philadelphia,2021,1,112826.0,rail_boardings
50,Philadelphia,2021,2,184944.0,bus
