,Calendar_Year,Calendar_Month,Route,Average_Daily_Ridership,city
0,2019,8,59,3811.0,Philadelphia
1,2019,8,60,8550.0,Philadelphia
2,2019,8,61,3563.0,Philadelphia
3,2019,8,62,226.0,Philadelphia
4,2019,8,64,4335.0,Philadelphia
5,2019,8,65,7052.0,Philadelphia
6,2019,8,66,8839.0,Philadelphia
7,2019,8,67,2674.0,Philadelphia
8,2019,8,68,2004.0,Philadelphia
9,2019,8,70,5029.0,Philadelphia
10,2019,8,73,1561.0,Philadelphia
11,2019,8,75,2663.0,Philadelphia
12,2019,8,77,647.0,Philadelphia
13,2019,8,78,114.0,Philadelphia
14,2019,8,79,3898.0,Philadelphia
15,2019,8,80,246.0,Philadelphia
16,2019,8,84,2425.0,Philadelphia
17,2019,8,88,1143.0,Philadelphia
18,2019,8,89,1564.0,Philadelphia
19,2019,8,90,446.0,Philadelphia
20,2019,8,92,322.0,Philadelphia
21,2019,8,93,1298.0,Philadelphia
22,2019,8,94,421.0,Philadelphia
23,2019,8,95,516.0,Philadelphia
24,2019,8,96,1294.0,Philadelphia
25,2019,8,97,655.0,Philadelphia
26,2019,8,98,970.0,Philadelphia
27,2019,8,99,1305.0,Philadelphia
28,2019,8,D1,3553.0,Philadelphia
29,2019,8,D2,3600.0,Philadelphia
30,2019,8,103,1107.0,Philadelphia
31,2019,8,104,3303.0,Philadelphia
32,2019,8,105,1146.0,Philadelphia
33,2019,8,106,1272.0,Philadelphia
34,2019,8,107,999.0,Philadelphia
35,2019,8,108,5204.0,Philadelphia
36,2019,8,109,4600.0,Philadelphia
37,2019,8,110,1925.0,Philadelphia
38,2019,8,111,1371.0,Philadelphia
39,2019,8,112,912.0,Philadelphia
40,2019,8,113,6708.0,Philadelphia
41,2019,8,114,1904.0,Philadelphia
42,2019,8,115,1014.0,Philadelphia
43,2019,8,117,1912.0,Philadelphia
44,2019,8,118,430.0,Philadelphia
45,2019,8,119,740.0,Philadelphia
46,2019,8,120,265.0,Philadelphia
47,2019,8,123,1021.0,Philadelphia
48,2019,8,124,1830.0,Philadelphia
49,2019,8,125,2289.0,Philadelphia
50,2019,8,126,634.0,Philadelphia
51,2019,8,127,342.0,Philadelphia
52,2019,8,128,375.0,Philadelphia
53,2019,8,129,977.0,Philadelphia
54,2019,8,130,543.0,Philadelphia
55,2019,8,131,635.0,Philadelphia
56,2019,8,132,402.0,Philadelphia
57,2019,8,133,95.0,Philadelphia
58,2019,8,139,412.0,Philadelphia
59,2019,8,150,19.0,Philadelphia
60,2019,8,201,161.0,Philadelphia
61,2019,8,204,215.0,Philadelphia
62,2019,8,205,67.0,Philadelphia
63,2019,8,206,145.0,Philadelphia
64,2019,8,310,408.0,Philadelphia
65,2019,8,311,212.0,Philadelphia
66,2019,8,47M,852.0,Philadelphia
67,2019,8,BLVDDIR,3118.0,Philadelphia
68,2019,8,B1 OWL,1777.0,Philadelphia
69,2019,8,63,11864.0,Philadelphia
70,2019,8,71,4159.0,Philadelphia
71,2019,8,41,2146.0,Philadelphia
72,2019,8,K,6846.0,Philadelphia
73,2019,8,51,6203.0,Philadelphia
74,2019,8,LUCYGO,1652.0,Philadelphia
75,2019,8,LUCYGR,1091.0,Philadelphia
76,2019,8,L1 OWL,2147.0,Philadelphia
77,2019,8,82,7469.0,Philadelphia
78,2019,8,81,4475.0,Philadelphia
79,2019,9,1,2977.0,Philadelphia
80,2019,9,2,5672.0,Philadelphia
81,2019,9,3,8878.0,Philadelphia
82,2019,9,4,7738.0,Philadelphia
83,2019,9,5,3775.0,Philadelphia
84,2019,9,6,6188.0,Philadelphia
85,2019,9,7,5255.0,Philadelphia
86,2019,9,8,2690.0,Philadelphia
87,2019,9,9,5126.0,Philadelphia
