,Calendar_Year,Calendar_Month,Mode,Average_Daily_Ridership,city
0,2019,1,Bus,459160,Philadelphia
2,2019,1,Heavy Rail,296709,Philadelphia
3,2019,1,Regional Rail,122856,Philadelphia
6,2019,2,Bus,464674,Philadelphia
8,2019,2,Heavy Rail,315858,Philadelphia
9,2019,2,Regional Rail,121161,Philadelphia
12,2019,3,Bus,478487,Philadelphia
14,2019,3,Heavy Rail,308777,Philadelphia
15,2019,3,Regional Rail,118228,Philadelphia
18,2019,4,Bus,473732,Philadelphia
20,2019,4,Heavy Rail,305491,Philadelphia
21,2019,4,Regional Rail,124045,Philadelphia
24,2019,5,Bus,480074,Philadelphia
26,2019,5,Heavy Rail,303776,Philadelphia
27,2019,5,Regional Rail,119187,Philadelphia
30,2019,6,Bus,396720,Philadelphia
32,2019,6,Heavy Rail,273813,Philadelphia
33,2019,6,Regional Rail,113745,Philadelphia
36,2019,7,Bus,401911,Philadelphia
38,2019,7,Heavy Rail,263492,Philadelphia
39,2019,7,Regional Rail,115144,Philadelphia
42,2019,8,Bus,406865,Philadelphia
44,2019,8,Heavy Rail,268150,Philadelphia
45,2019,8,Regional Rail,114436,Philadelphia
48,2019,9,Bus,501557,Philadelphia
50,2019,9,Heavy Rail,321907,Philadelphia
51,2019,9,Regional Rail,138481,Philadelphia
54,2019,10,Bus,502857,Philadelphia
56,2019,10,Heavy Rail,326562,Philadelphia
57,2019,10,Regional Rail,133614,Philadelphia
60,2019,11,Bus,490316,Philadelphia
62,2019,11,Heavy Rail,322462,Philadelphia
63,2019,11,Regional Rail,130761,Philadelphia
66,2019,12,Bus,437027,Philadelphia
68,2019,12,Heavy Rail,312677,Philadelphia
69,2019,12,Regional Rail,128363,Philadelphia
72,2020,1,Bus,493261,Philadelphia
74,2020,1,Heavy Rail,311442,Philadelphia
75,2020,1,Regional Rail,129953,Philadelphia
78,2020,2,Bus,503967,Philadelphia
80,2020,2,Heavy Rail,309414,Philadelphia
81,2020,2,Regional Rail,125397,Philadelphia
84,2020,3,Bus,414021,Philadelphia
86,2020,3,Heavy Rail,191819,Philadelphia
87,2020,3,Regional Rail,60912,Philadelphia
90,2020,4,Bus,141411,Philadelphia
92,2020,4,Heavy Rail,44353,Philadelphia
93,2020,4,Regional Rail,5168,Philadelphia
96,2020,5,Bus,165838,Philadelphia
98,2020,5,Heavy Rail,52913,Philadelphia
99,2020,5,Regional Rail,2016,Philadelphia
102,2020,6,Bus,192334,Philadelphia
104,2020,6,Heavy Rail,66216,Philadelphia
105,2020,6,Regional Rail,8516,Philadelphia
108,2020,7,Bus,203766,Philadelphia
110,2020,7,Heavy Rail,86270,Philadelphia
111,2020,7,Regional Rail,17381,Philadelphia
114,2020,8,Bus,189252,Philadelphia
116,2020,8,Heavy Rail,87788,Philadelphia
117,2020,8,Regional Rail,18288,Philadelphia
120,2020,9,Bus,205693,Philadelphia
122,2020,9,Heavy Rail,96188,Philadelphia
123,2020,9,Regional Rail,23479,Philadelphia
126,2020,10,Bus,207445,Philadelphia
